2010-06-04 21:42:19 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:21 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:22 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:37 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:39 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:46 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:49 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:49 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:49 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:50 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:50 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:43:02 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:43:04 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:44:03 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:44:19 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 15]
2010-06-04 21:57:48 Debug: Notice (8): Use of undefined constant WEBROOT - assumed 'WEBROOT' in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 25]
2010-06-04 21:58:37 Debug: Notice (8): Undefined property: Gallery::$webroot in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 25]
