2010-06-05 01:06:05 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\js\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:06:05 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:06:05 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\js\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:06:05 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\js\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:06:05 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:24:54 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:24:54 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:24:54 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:25:13 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:25:13 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
